bornIn,tmdbId,born,name,bio,died,poster,n.url
null,"""1290272""",null,"""Dennis Widmyer""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/wZbN0JZd6kbGAHRglEH8u7CfGJ0.jpg""","""https://themoviedb.org/person/1290272"""
"""Hilden, Germany""","""2332""","""1960-09-14""","""Christian Petzold""","""From Wikipedia, the free encyclopedia

Christian Petzold (born 14 September 1960 in Hilden) is a German movie director. 

Description above from the Wikipedia article Christian Petzold (director), licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/9XwFtjzPp9EaBnGDFo28t1PsKlg.jpg""","""https://themoviedb.org/person/2332"""
"""Wallasey, Merseyside, England, UK""","""82714""","""1935-10-28""","""Alan Clarke""","""From Wikipedia, the free encyclopedia. 

Alan Clarke (28 October 1935 – 24 July 1990) was a television and film director, producer and writer, born in Wallasey, Merseyside, England. 

Most of Clarke's output was for television rather than cinema, including work for the famous play strands The Wednesday Play and Play for Today.  His subject matter tended towards social realism, especially with respect to deprived or oppressed communities...""","""1990-07-24""","""https://image.tmdb.org/t/p/w440_and_h660_face/x6kTRGX18cgNJXscWkebNYomwPq.jpg""","""https://themoviedb.org/person/82714"""
"""Liverpool, England, UK""","""93911""","""1945-11-10""","""Terence Davies""","""​From Wikipedia, the free encyclopedia.   

Terence Davies (born 10 November 1945) is an English screenwriter, film director, sometime novelist and actor.  As a filmmaker, Davies is noted for his recurring themes of emotional (and sometimes physical) endurance, the influence of memory on everyday life and the potentially crippling effects of dogmatic religiosity on the emotional life of individuals and societies...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/uBbFee7ggk5vrCK4kcAcLOSYi0y.jpg""","""https://themoviedb.org/person/93911"""
null,"""87183""",null,"""Mark Young""",null,null,null,"""https://themoviedb.org/person/87183"""
null,"""1255496""",null,"""Gabe Polsky""",null,null,null,"""https://themoviedb.org/person/1255496"""
"""London - England - UK""","""94155""","""1963-05-01""","""Stefan Schwartz""","""​From Wikipedia, the free encyclopedia...""",null,null,"""https://themoviedb.org/person/94155"""
null,"""57870""",null,"""Jason Bloom""","""​From Wikipedia, the free encyclopedia.   

Jason Bloom is a film director whose films include Bio-Dome starring Pauly Shore and Overnight Delivery starring Paul Rudd and Reese Witherspoon.  He also directed Viva Las Nowhere with James Caan and Daniel Stern and Irving with James Belushi. 

Description above from the Wikipedia article Jason Bloom, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/57870"""
"""The Bronx, New York, U.S""","""94169""","""1917-09-06""","""John Berry""","""From Wikipedia, the free encyclopedia. 

John Berry (September 6, 1917 – November 29, 1999) was an American film director, who went into self-exile in France when his career was interrupted by the Hollywood blacklist...""","""1999-11-29""","""https://image.tmdb.org/t/p/w440_and_h660_face/7R31d8lYcCRomWfnwf3b8p0Ae0F.jpg""","""https://themoviedb.org/person/94169"""
null,"""102709""",null,"""David Price""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/bEOU4dsyW0Oe2owVUI29gDEt6GL.jpg""","""https://themoviedb.org/person/102709"""
null,"""56746""",null,"""Greg Spence""",null,null,null,"""https://themoviedb.org/person/56746"""
"""Minneapolis, Minnesota, USA""","""94180""","""1887-03-14""","""Charles Reisner""","""From Wikipedia, the free encyclopedia. 

Charles \""Chuck\"" Reisner (14 March 1887 – 24 September 1962) was an American film director and actor of the 1920s and 1930s. 

He directed over 60 films between 1920 and 1950 and acted in over 20 films between 1916 and 1929.  He starred alongside Charlie Chaplin in A Dog's Life in 1918 and The Kid in 1921. 

In 1930 under MGM he directed the film Chasing Rainbows a musical which starred actors Bessie Love and Charles King...""","""1962-09-24""","""https://image.tmdb.org/t/p/w440_and_h660_face/yk0s9H0WYWCwIESqm9yJ2O9oewt.jpg""","""https://themoviedb.org/person/94180"""
null,"""950853""",null,"""Samantha Grant""",null,null,null,"""https://themoviedb.org/person/950853"""
"""Brno, Moravia, AustriaHungary [now Brno, Czech Republic]""","""544699""","""1910-01-26""","""Elmar Klos""",null,"""1993-07-19""","""https://image.tmdb.org/t/p/w440_and_h660_face/u7BTGFZAD0ny8uRl0QGPXPtvVe4.jpg""","""https://themoviedb.org/person/544699"""
null,"""94918""",null,"""Daniel Barber""","""​From Wikipedia, the free encyclopedia.   

Daniel Barber is a British director who was nominated for an Academy Award in 2008 for his short film 'The Tonto Woman'.  Barber's wife Sandra was by his side throughout the Oscar ceremonies, despite her own struggle with cancer. 

Description above from the Wikipedia article Daniel Barber (director), licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/94918"""
"""New York City, New York, USA""","""18627""","""1938-02-23""","""Paul Morrissey""","""Paul Morrissey (born 23 February 1938, New York City) is an American film director, best-known for his association with Andy Warhol. 

Morrissey attended Ampleforth College, a private Roman Catholic boarding school and Fordham University, both Roman Catholic schools, and later served in the United States Army...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/zzyefFRWdOE1VQ41PnjeDGgUH7a.jpg""","""https://themoviedb.org/person/18627"""
""" Boston, Massachusetts, U.S.""","""140617""","""1974-08-06""","""Ezra Edelman""","""Ezra Edelman is a director and producer.  He is the son of children's rights activist Marian Wright Edelman and Georgetown University law professor Peter B.  Edelman.  He has two brothers, Joshua, an educational administrator, and Jonah, co-founder and CEO of Stand for Children.  Edelman graduated from Sidwell Friends School in Washington D. C.  during July 1992, before going on to acquire his baccalaureate from Yale University...""",null,null,"""https://themoviedb.org/person/140617"""
null,"""27444""",null,"""James Orr""","""From Wikipedia, the free encyclopedia.   James Orr is an Canadian writer, director and producer of motion pictures.  Orr's screenplay credits include Three Men and a Baby, Tough Guys and Sister Act 2: Back in the Habit, whilst his director credits include Mr.  Destiny and Man of the House. 

In September 2010, wine critic James Suckling announced the launch of his new video-based website featuring content taped in locations across the world, created in collaboration with James Orr...""",null,null,"""https://themoviedb.org/person/27444"""
null,"""26487""",null,"""Norman René""","""Norman René (1951 – May 24, 1996) was an American director.  He is known for his films Longtime Companion (1989), Prelude to a Kiss (1992), and Reckless (1995)...""","""1996-05-24""","""https://image.tmdb.org/t/p/w440_and_h660_face/vVvWJesEWdxyBnATaU4wP98yn22.jpg""","""https://themoviedb.org/person/26487"""
"""Dublin, Ireland""","""930791""","""1880-01-13""","""Herbert Brenon""",null,"""1958-06-21""",null,"""https://themoviedb.org/person/930791"""
"""Minneapolis, Minnesota, USA""","""30422""","""1925-03-09""","""Jack Smight""","""​From Wikipedia, the free encyclopedia

Jack Smight (March 9, 1925 - September 1, 2003) was an American theatre and film director.  Smight was born in Minneapolis, Minnesota and went to school with future actor Peter Graves.  His film credits include The Traveling Executioner, Rabbit, Run, Loving Couples, Midway, Harper, Airport 1975, Damnation Alley and the Emmy Award-winning Eddie, as well as many episodes of television series such as The Twilight Zone and The Alfred Hitchcock Hour...""","""2003-09-01""",null,"""https://themoviedb.org/person/30422"""
"""Pazos Hermos, Ourense, Galicia, Spain""","""95320""","""1973-05-31""","""Rodrigo Cortés""","""From Wikipedia, the free encyclopedia

Rodrigo Cortés Giráldez (born May 31, 1973) is a Spanish film director, producer, screenwriter, editor, and occasional actor. 

Description above from the Wikipedia article Rodrigo Cortés, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/95320"""
"""Bristol, England, UK""","""41041""","""1970-08-16""","""Christopher Smith""","""From Wikipedia, the free encyclopedia. 

Christopher Smith, (born 16 August 1970 in Bristol, England, UK) is a British film director and screenwriter. 

Description above from the Wikipedia article  Christopher Smith, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/7Un0sQeq7V9DgJw9n3OEzdo4vod.jpg""","""https://themoviedb.org/person/41041"""
"""Harrington Park, New Jersey, USA""","""119665""",null,"""Gregory Jacobs""","""Gregory \""Greg\"" Jacobs is an American film director, assistant director, producer, and screenwriter.  He has frequently collaborated with several film directors, most notably Steven Soderbergh.  Jacobs has also been operating as a director himself, having overseen projects such as Criminal, Wind Chill and Magic Mike XXL...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/uJVO8ChqP6Exk7BwX1K3gi2Cd14.jpg""","""https://themoviedb.org/person/119665"""
"""Los Angeles, California, USA""","""23964""","""1956-11-03""","""Gary Ross""","""Gary Ross (born November 3, 1956) is an American film director, writer, and producer.  He is best known for directing The Hunger Games...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/9EeuS6rCWPquj5uts6waw1y15Kp.jpg""","""https://themoviedb.org/person/23964"""
null,"""440124""",null,"""Drew Heriot""",null,null,null,"""https://themoviedb.org/person/440124"""
null,"""90657""",null,"""David Mallet""","""David Mallet is a British director particularly noted for his work on music videos, including David Bowie's innovative \""Ashes to Ashes\"", Rush's \""Distant Early Warning, and Queen's \""Radio Ga Ga\"" and \""I Want to Break Free\"" videos.  He has also served as a producer on television programmes including \""The Kenny Everett Video Show\""...""",null,null,"""https://themoviedb.org/person/90657"""
"""Edinburgh, Scotland, UK""","""95462""","""1934-01-17""","""Donald Cammell""","""​From Wikipedia, the free encyclopedia.   

Donald Seaton Cammell (17 January 1934 – 24 April 1996) was a Scottish film director who enjoys a cult reputation thanks to his debut film Performance, which he co-directed with Nicolas Roeg. 

Description above from the Wikipedia article  Donald Cammell , licensed under CC-BY-SA, full list of contributors on Wikipedia...""","""1996-04-24""","""https://image.tmdb.org/t/p/w440_and_h660_face/xIaAVsujonfsstCsYMXu9KCgbRg.jpg""","""https://themoviedb.org/person/95462"""
"""Cuba""","""26850""","""1968-12-20""","""Eduardo Sánchez""","""From Wikipedia, the free encyclopedia. 

Eduardo Miguel Sánchez-Quiros (born December 20, 1968) is a Cuban-born American director most famous for co-directing and writing the 1999 film The Blair Witch Project with Daniel Myrick...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/avKJyjTHky4OenGxepCjj1BYZYB.jpg""","""https://themoviedb.org/person/26850"""
null,"""95992""",null,"""Robert Scott""",null,"""2006-01-05""",null,"""https://themoviedb.org/person/95992"""
null,"""95066""","""1924-01-09""","""Sergei Parajanov""","""Sergei Parajanov (Armenian: Սերգեյ Փարաջանով;  Russian: Серге́й Ио́сифович Параджа́нов; Georgian: სერგო ფარაჯანოვი; Ukrainian: Сергій Йо́сипович Параджа́нов; sometimes spelled Paradzhanov or Paradjanov; January 9, 1924 – July 20, 1990) was a Soviet film director and artist of Armenian descent who made significant contributions to Soviet cinematography through Ukrainian, Georgian, and Armenian cinema...""","""1990-06-21""","""https://image.tmdb.org/t/p/w440_and_h660_face/90Vpo4UtfYeckMRLesg9Fanqgcs.jpg""","""https://themoviedb.org/person/95066"""
null,"""132239""",null,"""Babak Najafi""",null,null,null,"""https://themoviedb.org/person/132239"""
"""New York, USA""","""96446""",null,"""Kevin Rafferty""","""From Wikipedia, the free encyclopedia. 

Kevin Rafferty is an American documentary film cinematographer, director, and producer, best known for his 1982 documentary The Atomic Cafe...""",null,null,"""https://themoviedb.org/person/96446"""
null,"""187067""",null,"""David Allen""",null,null,null,"""https://themoviedb.org/person/187067"""
"""Stockton, California, USA""","""1214133""","""1922-09-30""","""Lamont Johnson""","""From Wikipedia, the free encyclopedia. 

Lamont Johnson (September 30, 1922 – October 24, 2010) was an American actor and film director who has appeared in and directed many television shows and movies.  He won two Emmy Awards. 

Johnson was born Ernest Lamont Johnson, Jr.  in Stockton, California, the son of Ruth Alice (née Fairchild) and Ernest Lamont Johnson, who was a realtor.  Johnson began his career in radio, playing the role of Tarzan in a popular syndicated series in 1951...""","""2010-10-24""","""https://image.tmdb.org/t/p/w440_and_h660_face/oGqhGmjBntl4C0wVGDScr2u13Iw.jpg""","""https://themoviedb.org/person/1214133"""
null,"""59670""",null,"""Jane Anderson""",null,null,null,"""https://themoviedb.org/person/59670"""
null,"""124695""",null,"""David Jung""",null,null,null,"""https://themoviedb.org/person/124695"""
"""Los Alamos, New Mexico, USA""","""1326297""",null,"""Bradley King""","""Bradley Dean King is an American film director and screenwriter...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/xDcfdeIb19MJJnRym4jUs98Movi.jpg""","""https://themoviedb.org/person/1326297"""
"""Bangkok, Thailand""","""565524""","""1942-11-29""","""Chatrichalerm Yukol""","""His Serene Highness Prince Chatrichalerm Yukol is a Thai film director, screenwriter and film producer.  A prolific director since the 1970s, among his films is the 2001 historical epic, The Legend of Suriyothai.  A member of the Thai royal family, his official royal title is Mom Chao, or M. C. , the most junior title still considered royalty.  He is theoretically 19th in line for the Thai throne.  He is widely known by his nickname, Than Mui...""",null,null,"""https://themoviedb.org/person/565524"""
"""Handa, Aichi, Japan""","""583881""","""1976-08-29""","""Nobuhiro Yamashita""",null,null,null,"""https://themoviedb.org/person/583881"""
null,"""97591""",null,"""Joel Anderson""",null,null,null,"""https://themoviedb.org/person/97591"""
null,"""24757""",null,"""Sylvio Tabet""",null,null,null,"""https://themoviedb.org/person/24757"""
"""London""","""98538""","""1941-08-29""","""Tony Palmer""","""Tony Palmer is a British film director and author.   His work includes over 100 films, ranging from early works with The Beatles, Cream, Jimi Hendrix and Frank Zappa (200 Motels), to his classical portraits which include profiles of Maria Callas, Margot Fonteyn, John Osborne, Igor Stravinsky, Richard Wagner, Yehudi Menuhin, Carl Orff, Benjamin Britten and Ralph Vaughan Williams.  He is also a stage director of theatre and opera...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/g9lFSxdyPL9w6KZT0FJZlFzhYIl.jpg""","""https://themoviedb.org/person/98538"""
"""Hoboken, New Jersey, U.S.""","""1331163""","""1977-09-17""","""Sam Esmail""","""Sam Esmail is an Egyptian-American screenwriter, film and television director, and television producer.  He is best known as the creator of the television series Mr.  Robot (2015–present)...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/mej39wMtNDsOI5HklLb65QAiM6K.jpg""","""https://themoviedb.org/person/1331163"""
null,"""185995""",null,"""Michael Walker""",null,null,null,"""https://themoviedb.org/person/185995"""
null,"""1195866""",null,"""Peter George""",null,null,null,"""https://themoviedb.org/person/1195866"""
"""Cambridge, Cambridgeshire, England, UK""","""33317""","""1947-04-20""","""David Leland""","""​From Wikipedia, the free encyclopedia.   

David Leland (born 20 April 1947 in Cambridge, England) is a director, screenwriter and actor who came to international fame with his directorial debut Wish You Were Here in 1987. 

Description above from the Wikipedia article David Leland, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/9nWtHb2usnfeGXScwLmVpbFq6S9.jpg""","""https://themoviedb.org/person/33317"""
null,"""1222374""",null,"""Jamie Payne""",null,null,null,"""https://themoviedb.org/person/1222374"""
"""Cambridge, Massachusetts, USA""","""100616""","""1939-01-01""","""Tom DeSimone""","""Tom DeSimone (born 1939) is an American director, writer, producer and editor, perhaps best known for directing the cult films Chatterbox (1977), Hell Night (1981), and The Concrete Jungle (1982). 

DeSimone was born in Cambridge, Massachusetts, and earned a Bachelor of Arts degree from Emerson College.  He relocated to Los Angeles, California in the 1960s, and enrolled at the University of Southern California to earn a Master's degree in filmmaking...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/r402yi9RIPuItcMz8tDFvKhoe9o.jpg""","""https://themoviedb.org/person/100616"""
"""North Olmsted, Ohio""","""100891""","""1971-08-13""","""David Monahan""","""​From Wikipedia, the free encyclopedia.   

David Harold Monahan (born August 13, 1971 in North Olmsted, Ohio) is an actor, best known for recurring roles on Crossing Jordan as Detective Matt Seely and Dawson's Creek as Tobey Barret.  He has also appeared in such films as The Last Supper (2000), The Mostly Unfabulous Social Life of Ethan Green (2005) and Something New (2006). 

A 1989 graduate of Bishop Denis J...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/2NzQDcARuhSn2CGS5IRPmeomIxt.jpg""","""https://themoviedb.org/person/100891"""
"""Los Angeles, California, USA""","""31310""","""1933-01-28""","""Jack Hill""","""​From Wikipedia, the free encyclopedia

Jack Hill (born January 28, 1933) is an U. S.  film director, noted for his work in the exploitation film genre.  Hill was born in Los Angeles.  His mother, Mildred (née Pannill), was a music teacher and his father, Roland Everett Hill, worked as a set builder for film studios and was an architect. 

Description above from the Wikipedia article Jack Hill, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/e2HQQCcGwCul8aPIXeb9fQpDqKS.jpg""","""https://themoviedb.org/person/31310"""
"""Tenterden, GB""","""179609""","""1949-08-01""","""Nigel Finch""",null,"""1995-02-14""",null,"""https://themoviedb.org/person/179609"""
"""  United States""","""1368144""","""1973-12-09""","""Max Nichols""","""Born on December 9, 1973 in the USA.  He is a director and actor, known for Two Night Stand (2014), Heft and Day 5 (2016).  Has been married to Rachel Nichols since May 25, 2001...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/y9tgsQjrWmxj7xNCYAwD1RnyfFN.jpg""","""https://themoviedb.org/person/1368144"""
null,"""1352991""",null,"""Andrew Loo""",null,null,null,"""https://themoviedb.org/person/1352991"""
"""Budapest, Hungary""","""89981""","""1905-03-05""","""László Benedek""","""From Wikipedia, the free encyclopedia

László Benedek (Hungarian pronunciation: [ˈlaːsloː ˈbɛnɛdɛk]; March 5, 1905 – March 11, 1992; sometimes Laslo Benedek) was a Hungarian-born film director and cinematographer, most notable for directing The Wild One (1953). 

Born in Budapest, he worked as a writer and editor in Hungarian cinema until World War II.  Louis B.  Mayer helped the Jewish Benedek escape and brought him to Hollywood where he directed his first film for MGM in 1944 as a stand-in...""","""1992-03-11""",null,"""https://themoviedb.org/person/89981"""
"""Paris, France""","""114629""","""1949-01-01""","""Philippe Mora""","""Philippe Mora is an Australian film writer, director, actor and artist.  He was born in France to a German Jewish father and an Australian mother...""",null,null,"""https://themoviedb.org/person/114629"""
"""London, England, UK""","""101520""","""1912-05-29""","""John Gilling""","""John Gilling (29 May 1912 – 22 November 1984) was an English film director and screenwriter, born in London.  He was chiefly known for his horror films, especially for Hammer Films, for whom he directed Shadow of the Cat (1961), The Plague of the Zombies (1966), The Reptile (1966) (the latter two filmed back to back in Cornwall) and The Mummy's Shroud, among others.  He is also renown for many low to mid budget detective films and teleplays with unexpected touches of comedy blended in...""","""1984-11-22""",null,"""https://themoviedb.org/person/101520"""
"""Los Angeles, California, USA""","""1286323""","""1957-05-03""","""Michael Meyer""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/ll3hpdhMK56s3yiyLCQliBY6xWA.jpg""","""https://themoviedb.org/person/1286323"""
"""St. Louis, Missouri, USA""","""1019303""","""1979-03-20""","""Duke Johnson""",null,null,null,"""https://themoviedb.org/person/1019303"""
"""Asturias, Spain""","""104879""","""1941-01-01""","""Ramón Menéndez""","""Luis Ramón Menéndez Velasco was an actor...""","""2007-01-01""",null,"""https://themoviedb.org/person/104879"""
"""Palo Alto, California, USA""","""54507""","""1979-11-02""","""Jon M. Chu""","""Jonathan Murray \""Jon\"" Chu (born November 2, 1979) is an American film director and screenwriter best known for directing the movies Step Up 2: The Streets, Step Up 3D and Justin Bieber: Never Say Never.  Chu is an alumnus of the University of Southern California School of Cinema-Television...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/7qzoszJh8PuI2rqgMceuCqq4vQG.jpg""","""https://themoviedb.org/person/54507"""
"""Toronto, Ontario,  Canada""","""94045""","""1951-01-19""","""Bill Corcoran""","""Bill Corcoran is a Canadian film and television director...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/wbp8xIJqdKDhQhWUpwAyIxoK0v0.jpg""","""https://themoviedb.org/person/94045"""
"""Portland, Oregon, USA""","""103344""","""1897-11-13""","""Harold Young""","""From Wikipedia, the free encyclopedia

Harold Young (November 13, 1897 – March 3, 1972) was an American film director, editor, and occasional actor. 

Born in Portland, Oregon, Young was active as a film editor from 1923-1934, working first on a series of George O'Hara short subjects under the director Malcolm St.  Clair. 

Young's best-known early directoral assignment is probably The Scarlet Pimpernel (1934), starring Leslie Howard and Merle Oberon, one example of his occasional work in Britain...""","""1972-03-03""",null,"""https://themoviedb.org/person/103344"""
"""Tokyo - Japan""","""134102""","""1948-11-25""","""Jun Ichikawa""","""Jun Ichikawa was a Japanese film director and screenwriter.  He was first a director of television commercials before adding filmmaking to his creative activities.  His most famous film outside of Japan was Tony Takitani, an adaptation of a short story by Haruki Murakami.  He died of a cerebral hemorrhage after suddenly collapsing at a restaurant, shortly before his latest film, Buy a Suit, was to premier at the Tokyo International Film Festival...""","""2008-09-19""","""https://image.tmdb.org/t/p/w440_and_h660_face/dmRHGKPaNh0hoosSNzhr2jRQq2h.jpg""","""https://themoviedb.org/person/134102"""
"""Pasadena, California, USA""","""55252""","""1964-10-10""","""Tim Miller""","""Timothy Miller is an American film director and visual effects artist.  He made his feature-film directing debut with Deadpool.  He was nominated for the Academy Award for Best Animated Short Film as co-story writer and executive producer of the short animated film Gopher Broke...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/dCyBYwhO76j5wA96HPb6k5xk2Le.jpg""","""https://themoviedb.org/person/55252"""
